customer_id,signup_date,company_size,industry,country,plan_type,contract_length,monthly_revenue,total_revenue,payment_method,payment_failures,discount_received,monthly_active_days,feature_adoption_score,support_tickets_count,login_frequency,session_duration_avg,api_calls_count,days_since_last_login,feature_usage_decline,customer_health_score,nps_score,product_feedback_submitted,churned,churn_date,retention_campaign_received
CUST_00013,2024-04-03,Small,Finance,Canada,Free,Month-to-month,0.0,0.0,Invoice,0,1,11.0,82.6,5,0.5,29.7,136,0.2,1,51.4,-4.0,1,0,,0
CUST_00014,2023-03-29,Medium,Education,Australia,Pro,Annual,271.81,7581.88,Credit Card,0,0,15.0,59.9,2,3.1,11.7,177,5.2,1,54.9,-10.0,1,1,2024-05-28,0
CUST_00015,2024-01-08,Medium,Retail,Germany,Basic,Month-to-month,43.48,431.88,Credit Card,1,0,10.0,77.0,4,2.7,39.8,69,1.4,0,69.3,-16.0,0,0,,0
CUST_00016,2023-04-10,Large,Education,UK,Pro,Annual,179.54,4164.69,Credit Card,0,0,9.0,83.9,4,5.2,21.5,52,11.3,0,62.9,-53.0,1,0,,0
CUST_00017,2024-10-25,Small,Healthcare,Australia,Basic,Month-to-month,48.22,105.65,Credit Card,1,0,9.0,64.9,1,2.8,24.0,2,1.7,0,67.7,,0,0,,0
CUST_00018,2023-05-11,Small,Finance,USA,Free,Month-to-month,0.0,0.0,Credit Card,1,0,11.0,49.3,4,3.6,17.3,215,1.4,0,70.8,5.0,0,0,,0
CUST_00019,2024-10-23,Small,Education,UK,Enterprise,Multi-year,1060.88,2454.74,Credit Card,0,0,10.0,74.0,3,5.9,32.6,154,4.3,0,67.9,26.0,0,0,,1
CUST_00020,2023-11-05,Large,Finance,UK,Basic,Month-to-month,52.15,765.17,PayPal,0,1,11.0,66.2,4,2.0,33.8,3,0.9,1,51.0,6.0,0,0,,0
CUST_00021,2023-12-10,Small,Retail,UK,Basic,Month-to-month,52.19,679.18,Invoice,0,1,10.0,87.5,6,0.2,19.1,182,6.1,0,67.0,-9.0,1,0,,0
CUST_00022,2024-05-06,Medium,Healthcare,Canada,Enterprise,Multi-year,1148.5,8420.09,Credit Card,2,1,12.0,82.4,0,2.1,42.0,206,4.7,1,50.7,-1.0,0,0,,1
CUST_00023,2024-02-18,Medium,Technology,Australia,Basic,Month-to-month,53.87,583.91,Credit Card,0,0,13.0,79.7,4,6.5,18.8,22,1.6,0,73.7,-35.0,0,1,2024-11-29,0
CUST_00024,2024-01-21,Small,Technology,Canada,Basic,Month-to-month,42.7,417.56,Credit Card,0,0,5.0,58.5,4,2.3,8.3,15,4.1,0,60.5,-21.0,1,0,,0
CUST_00025,2023-07-11,Small,Finance,USA,Enterprise,Multi-year,960.54,16162.49,Credit Card,0,0,15.0,92.6,1,2.2,,21,4.6,0,75.2,31.0,0,0,,0
CUST_00026,2023-10-04,Small,Healthcare,USA,Basic,Month-to-month,46.04,591.59,PayPal,1,0,11.0,70.5,3,1.3,14.6,186,4.6,0,69.2,66.0,0,0,,0
CUST_00027,2023-06-10,Large,Technology,UK,Pro,Annual,195.23,4174.84,Credit Card,0,0,10.0,82.7,1,5.5,11.2,129,9.3,0,65.3,-20.0,0,0,,0
CUST_00028,2024-04-04,Medium,Finance,UK,Basic,Month-to-month,55.2,493.27,Credit Card,0,0,16.0,80.7,0,4.0,27.6,198,12.0,0,73.0,-16.0,0,0,,0
CUST_00029,2023-11-10,Medium,Healthcare,USA,Free,Month-to-month,0.0,0.0,Credit Card,0,0,12.0,46.2,1,4.9,36.1,16,5.0,0,70.5,36.0,0,0,,0
CUST_00030,2023-01-22,Medium,Retail,Germany,Free,Month-to-month,0.0,0.0,Invoice,2,0,12.0,64.6,2,4.5,11.4,164,12.0,0,67.0,54.0,0,0,,0
CUST_00031,2023-09-10,Medium,Technology,Germany,Pro,Annual,222.75,2331.46,Credit Card,0,0,10.0,86.3,3,4.8,10.3,165,0.4,0,69.8,24.0,0,0,,0
CUST_00032,2024-07-14,Medium,Retail,Australia,Free,Month-to-month,0.0,0.0,Credit Card,1,0,12.0,47.6,4,2.2,27.3,291,6.8,0,69.6,96.0,0,0,,0
CUST_00033,2024-04-19,Small,Technology,USA,Pro,Annual,171.66,1293.18,Credit Card,0,0,9.0,93.2,0,2.9,50.0,115,4.2,1,46.4,31.0,0,0,,0
CUST_00034,2023-02-28,Small,Technology,UK,Free,Month-to-month,0.0,0.0,Credit Card,2,0,4.0,71.5,1,5.4,19.9,156,0.6,0,60.7,17.0,0,0,,0
CUST_00035,2024-05-25,Small,Technology,UK,Basic,Month-to-month,51.0,411.54,Credit Card,1,0,12.0,86.0,2,1.0,31.4,250,14.7,1,45.6,41.0,0,0,,0
CUST_00036,2024-11-12,Medium,Retail,UK,Free,Month-to-month,0.0,0.0,Credit Card,0,0,11.0,70.0,2,2.6,34.0,14,5.0,0,69.0,,0,0,,0
CUST_00037,2024-04-20,Small,Technology,USA,Pro,Annual,214.25,1879.93,Credit Card,2,1,10.0,44.9,3,4.2,28.1,43,11.4,1,44.3,100.0,1,0,,0
CUST_00038,2024-11-30,Medium,Technology,UK,Pro,Annual,190.86,154.04,Credit Card,0,0,15.0,86.1,3,5.8,20.4,93,10.3,0,72.3,87.0,0,0,,0
CUST_00039,2023-07-09,Small,Technology,Australia,Enterprise,Multi-year,1081.3,18071.15,PayPal,0,1,,67.6,1,0.4,16.5,86,3.4,0,68.3,12.0,0,0,,0
CUST_00040,2024-11-17,Enterprise,Education,Germany,Basic,Month-to-month,48.97,50.5,Credit Card,0,0,7.0,97.0,3,5.9,4.9,2,1.5,0,64.7,100.0,0,0,,0
CUST_00041,2024-07-16,Small,Education,UK,Free,Month-to-month,0.0,0.0,Credit Card,1,1,13.0,95.4,3,0.2,3.2,93,3.5,0,72.8,60.0,1,0,,0
CUST_00042,2024-07-20,Small,Technology,Germany,Pro,Annual,206.79,998.36,Credit Card,2,0,14.0,34.4,1,1.5,35.7,98,1.0,0,75.5,99.0,0,0,,0
CUST_00043,2023-09-01,Enterprise,Finance,Germany,Basic,Month-to-month,47.61,794.49,PayPal,0,0,5.0,48.4,3,1.5,22.0,127,1.1,1,42.0,-5.0,0,0,,1
CUST_00044,2024-05-19,Medium,Education,UK,Enterprise,Multi-year,1169.51,9057.45,Credit Card,0,0,6.0,89.8,1,6.6,,80,0.8,1,43.6,32.0,0,0,,1
CUST_00045,2023-05-11,Enterprise,Technology,Canada,Enterprise,Multi-year,972.26,22160.51,Invoice,1,0,15.0,59.1,0,4.6,54.0,72,0.5,0,77.3,27.0,0,0,,0
CUST_00046,2024-04-29,Small,Technology,USA,Free,Month-to-month,0.0,0.0,Credit Card,0,0,11.0,80.1,2,3.9,35.7,26,0.1,0,71.4,30.0,0,0,,0
CUST_00047,2024-10-08,Small,Technology,UK,Free,Month-to-month,0.0,0.0,Credit Card,0,0,,88.6,2,4.2,20.4,33,23.4,0,64.3,15.0,0,0,,0
CUST_00048,2023-01-21,Medium,Education,USA,Enterprise,Multi-year,891.01,20054.05,Credit Card,0,1,6.0,60.9,3,3.5,22.9,38,2.8,0,62.6,62.0,0,0,,0
CUST_00049,2023-06-16,Large,Retail,USA,Enterprise,Multi-year,1022.77,17125.02,Invoice,0,0,9.0,94.5,3,1.5,12.3,101,12.7,1,42.1,88.0,0,0,,0
CUST_00050,2023-10-01,Small,Technology,Australia,Basic,Month-to-month,41.46,701.88,PayPal,0,1,10.0,83.4,4,1.0,38.7,83,6.6,0,66.7,19.0,0,0,,0
CUST_00051,2024-01-23,Enterprise,Technology,Australia,Enterprise,Multi-year,945.79,10184.16,Credit Card,0,0,5.0,67.7,1,4.0,13.3,60,2.7,0,61.2,72.0,1,0,,0
CUST_00052,2024-08-23,Medium,Education,USA,Enterprise,Multi-year,1082.42,5664.09,Invoice,0,1,15.0,34.5,0,2.9,27.5,16,0.3,0,77.3,53.0,1,0,,0
CUST_00053,2023-11-12,Large,Finance,UK,Basic,Month-to-month,48.12,601.89,PayPal,0,1,10.0,81.9,3,5.6,14.7,161,1.6,0,69.2,52.0,0,0,,0
CUST_00054,2023-01-14,Small,Healthcare,UK,Pro,Annual,213.65,4106.1,Credit Card,1,1,15.0,61.1,2,3.0,11.7,88,9.1,0,72.9,9.0,0,0,,0
CUST_00055,2023-08-30,Small,Finance,UK,Pro,Annual,227.18,5075.82,Credit Card,2,0,19.0,45.4,2,5.1,32.7,12,6.3,0,80.4,4.0,1,0,,0
CUST_00056,2023-12-12,Enterprise,Retail,USA,Free,Month-to-month,0.0,0.0,Invoice,1,1,10.0,84.7,1,3.5,4.7,47,4.7,0,67.6,-25.0,1,0,,0
CUST_00057,2024-07-18,Enterprise,Technology,Australia,Basic,Month-to-month,44.0,183.75,Credit Card,2,0,11.0,57.7,1,2.8,46.3,21,0.2,0,71.4,100.0,0,0,,0
CUST_00058,2023-12-06,Medium,Retail,USA,Pro,Annual,196.43,2156.92,Credit Card,0,0,8.0,79.8,3,7.1,32.6,69,5.5,0,64.3,100.0,0,0,,0
CUST_00059,2023-04-02,Small,Technology,USA,Pro,Annual,197.91,5478.95,PayPal,1,1,,66.5,2,2.4,23.3,152,2.1,0,72.0,29.0,1,0,,0
CUST_00060,2024-01-02,Small,Technology,Canada,Free,Month-to-month,0.0,0.0,Invoice,1,0,11.0,65.3,2,1.7,34.1,0,2.0,0,70.5,2.0,0,0,,0
CUST_00061,2024-03-30,Medium,Healthcare,Australia,Enterprise,Multi-year,957.27,8584.48,Invoice,0,0,8.0,92.0,3,5.8,10.9,21,1.9,1,46.0,88.0,1,0,,1
CUST_00062,2024-03-03,Small,Retail,Germany,Pro,Annual,201.01,2162.29,Invoice,0,0,12.0,75.7,1,2.7,42.6,9,0.3,0,72.8,23.0,0,0,,0
CUST_00063,2024-05-23,Small,Finance,Canada,Free,Month-to-month,0.0,0.0,PayPal,0,1,15.0,45.7,4,5.6,27.6,87,4.0,0,75.5,20.0,0,0,,0
CUST_00064,2023-02-04,Small,Technology,USA,Basic,Month-to-month,36.64,1103.09,Invoice,0,1,15.0,97.1,4,3.0,,127,7.1,0,73.9,-5.0,1,0,,0
CUST_00065,2023-07-25,Large,Healthcare,UK,Enterprise,Multi-year,1059.62,20024.27,Credit Card,1,0,13.0,61.2,1,4.3,13.7,54,16.5,1,46.2,100.0,1,0,,0
CUST_00066,2023-03-22,Small,Retail,Germany,Basic,Month-to-month,45.66,1228.67,Invoice,0,1,10.0,92.7,0,2.5,29.9,5,5.9,0,67.0,7.0,1,0,,0
CUST_00067,2024-07-15,Medium,Retail,USA,Pro,Annual,161.62,947.14,Credit Card,0,0,17.0,59.6,3,3.0,1.8,179,8.0,1,56.5,11.0,0,0,,0
CUST_00068,2024-01-23,Medium,Finance,Germany,Free,Month-to-month,0.0,0.0,Invoice,0,1,,67.7,1,2.5,10.4,64,3.3,0,74.4,100.0,0,0,,0
CUST_00069,2023-01-02,Medium,Technology,USA,Basic,Month-to-month,51.01,1349.45,Invoice,0,0,19.0,59.9,1,5.3,47.0,189,18.7,0,74.2,-15.0,1,0,,0
CUST_00070,2024-01-25,Medium,Healthcare,Canada,Enterprise,Multi-year,970.94,9612.0,Invoice,1,0,9.0,53.0,1,3.2,20.7,72,5.0,0,66.0,85.0,0,0,,1
CUST_00071,2024-07-19,Small,Finance,USA,Basic,Month-to-month,56.46,361.22,PayPal,1,0,7.0,58.9,1,4.4,32.8,45,6.8,0,62.1,17.0,0,0,,0
CUST_00072,2023-04-16,Medium,Education,Australia,Pro,Annual,227.06,4322.5,Invoice,0,0,12.0,80.3,0,2.0,54.8,7,1.9,1,52.1,-54.0,0,0,,1
CUST_00073,2024-04-21,Large,Healthcare,USA,Free,Month-to-month,0.0,0.0,PayPal,0,1,7.0,70.3,3,5.5,,10,11.4,1,39.8,35.0,1,0,,1
CUST_00074,2024-12-03,Medium,Healthcare,USA,Pro,Annual,197.35,142.67,Credit Card,2,0,18.0,76.7,3,3.7,34.4,258,6.0,0,79.0,30.0,0,0,,0
CUST_00075,2024-02-06,Enterprise,Finance,Australia,Free,Month-to-month,0.0,0.0,Credit Card,2,1,18.0,89.2,1,4.6,50.7,123,5.6,0,79.2,22.0,1,0,,0
CUST_00076,2024-12-30,Large,Finance,UK,Enterprise,Multi-year,913.7,1113.68,Credit Card,0,0,6.0,51.5,4,4.5,27.3,130,4.0,1,42.0,51.0,0,0,,0
CUST_00077,2024-07-09,Large,Healthcare,Australia,Enterprise,Multi-year,1174.58,4872.51,Credit Card,0,0,11.0,73.5,0,3.8,21.0,16,6.4,1,48.3,55.0,0,0,,0
CUST_00078,2023-06-11,Small,Finance,UK,Pro,Annual,196.77,4008.46,Credit Card,0,0,14.0,83.2,1,4.0,3.5,64,5.0,1,53.5,42.0,0,0,,1
CUST_00079,2023-07-21,Medium,Education,Germany,Free,Month-to-month,0.0,0.0,Credit Card,1,0,13.0,76.3,0,6.9,39.0,25,9.4,1,49.8,54.0,1,0,,1
CUST_00080,2023-09-27,Medium,Finance,USA,Basic,Month-to-month,49.35,745.36,PayPal,0,0,10.0,57.7,1,2.3,38.3,65,4.6,0,67.7,55.0,0,0,,0
CUST_00081,2023-09-28,Small,Finance,Canada,Basic,Month-to-month,49.98,883.67,Invoice,1,1,16.0,53.9,1,3.7,56.0,153,15.0,0,71.5,2.0,1,0,,0
CUST_00082,2024-03-31,Medium,Technology,Germany,Pro,Annual,215.22,1788.26,Credit Card,1,0,10.0,41.0,0,3.6,,140,1.7,1,49.2,48.0,1,0,,1
CUST_00083,2024-04-06,Small,Retail,UK,Basic,Month-to-month,44.83,433.23,Credit Card,0,1,8.0,57.0,4,1.5,54.5,7,5.1,0,64.4,6.0,0,0,,0
CUST_00084,2024-12-27,Medium,Technology,Germany,Basic,Month-to-month,49.78,52.85,PayPal,1,0,13.0,66.7,1,2.1,35.5,124,21.0,0,64.0,66.0,0,0,,0
CUST_00085,2023-09-09,Medium,Finance,Canada,Pro,Annual,201.72,2967.0,Credit Card,0,1,13.0,77.0,3,1.6,25.4,42,11.1,0,68.9,-27.0,0,0,,0
CUST_00086,2024-12-02,Medium,Healthcare,UK,Pro,Annual,204.81,190.63,PayPal,0,0,,67.9,0,2.3,27.5,2,2.0,1,56.5,40.0,0,0,,1
CUST_00087,2023-10-23,Enterprise,Finance,UK,Pro,Annual,222.06,3409.7,PayPal,0,0,8.0,69.3,0,2.3,4.7,37,0.8,0,66.6,-20.0,1,0,,0
CUST_00088,2024-12-25,Small,Retail,Australia,Enterprise,Multi-year,999.72,1132.96,Invoice,1,0,11.0,88.9,1,3.3,27.9,41,3.4,0,69.8,-16.0,0,0,,1
CUST_00089,2024-12-20,Small,Retail,Germany,Enterprise,Multi-year,1044.56,806.43,Credit Card,0,0,6.0,82.3,1,1.1,11.1,13,7.9,0,60.0,55.0,0,0,,0
CUST_00090,2023-12-04,Small,Education,UK,Pro,Annual,231.94,4049.71,Credit Card,0,0,15.0,78.5,4,5.7,,60,0.2,1,57.4,,0,0,,1
CUST_00091,2023-02-22,Large,Healthcare,USA,Basic,Month-to-month,52.85,1096.83,Credit Card,0,0,7.0,85.5,2,3.4,8.7,99,8.7,1,41.1,-16.0,1,0,,1
CUST_00092,2023-08-05,Medium,Healthcare,USA,Pro,Annual,200.43,3735.26,Credit Card,0,0,14.0,72.0,2,2.9,21.2,99,6.7,0,72.6,,1,0,,0
CUST_00093,2023-07-07,Medium,Technology,UK,Basic,Month-to-month,46.94,918.93,Invoice,0,0,8.0,42.8,2,6.7,52.4,32,1.8,0,66.1,-1.0,0,1,2024-09-19,0
CUST_00094,2024-01-15,Small,Finance,USA,Pro,Annual,224.79,2546.94,Credit Card,0,0,14.0,36.2,1,1.3,14.4,95,7.1,0,72.4,39.0,1,0,,1
CUST_00095,2024-05-07,Medium,Technology,UK,Basic,Month-to-month,43.18,281.99,Invoice,0,1,16.0,63.5,0,3.3,10.1,242,4.6,1,56.7,66.0,1,0,,1
CUST_00096,2023-02-10,Small,Retail,Australia,Free,Month-to-month,0.0,0.0,Credit Card,0,0,16.0,71.2,0,0.1,37.3,16,0.5,1,58.7,27.0,0,1,2024-12-13,1
CUST_00097,2023-06-06,Large,Finance,UK,Pro,Annual,202.69,3648.98,Credit Card,0,0,8.0,88.3,4,0.7,18.0,16,13.4,0,60.3,77.0,0,0,,0
CUST_00098,2023-01-15,Large,Healthcare,Canada,Pro,Annual,207.18,4355.98,PayPal,1,0,10.0,59.9,1,3.5,28.4,60,2.6,1,48.7,,1,0,,0
CUST_00099,2023-03-06,Large,Finance,USA,Free,Month-to-month,0.0,0.0,Credit Card,0,0,9.0,81.7,3,2.9,38.1,100,7.6,1,44.7,-3.0,1,1,2024-12-05,1
CUST_00100,2024-06-04,Large,Healthcare,Australia,Basic,Month-to-month,46.5,362.07,Credit Card,0,0,7.0,97.0,4,,37.9,191,11.3,0,59.8,28.0,0,0,,0
CUST_00101,2023-12-10,Medium,Finance,UK,Basic,Month-to-month,45.14,476.99,Credit Card,0,1,10.0,30.9,1,1.8,31.6,18,1.2,0,69.4,24.0,1,0,,0
CUST_00102,2023-05-09,Large,Healthcare,USA,Pro,Annual,172.78,4897.27,PayPal,0,0,16.0,85.9,5,5.5,15.9,125,6.2,0,75.9,-28.0,1,0,,0
CUST_00103,2024-10-09,Medium,Education,Canada,Pro,Annual,199.94,437.49,Credit Card,0,0,,80.5,2,0.9,49.6,11,0.1,0,73.0,70.0,1,0,,0
CUST_00104,2024-04-16,Medium,Retail,USA,Free,Month-to-month,0.0,0.0,Credit Card,0,0,21.0,89.1,1,0.5,10.2,133,3.0,1,65.0,-7.0,0,0,,0
CUST_00105,2023-03-04,Small,Finance,UK,Free,Month-to-month,0.0,0.0,Credit Card,0,1,10.0,64.4,4,1.9,1.2,215,4.1,0,68.0,88.0,0,0,,0
CUST_00106,2023-05-19,Small,Healthcare,Australia,Pro,Annual,166.1,2646.06,Invoice,1,0,10.0,51.5,1,5.0,36.9,52,4.9,0,67.5,1.0,0,0,,0
CUST_00107,2024-05-13,Medium,Healthcare,USA,Enterprise,Multi-year,919.61,8363.6,Credit Card,1,1,15.0,81.0,2,0.8,22.8,121,1.4,0,76.8,-3.0,0,0,,0
CUST_00108,2024-08-15,Medium,Retail,Germany,Enterprise,Multi-year,1048.29,4017.51,PayPal,1,0,10.0,79.0,3,0.0,36.0,113,4.3,0,67.8,41.0,0,0,,0
CUST_00109,2024-01-27,Small,Retail,Canada,Basic,Month-to-month,48.96,655.39,PayPal,0,0,10.0,62.2,2,1.1,43.1,14,12.5,0,63.8,51.0,0,0,,0
CUST_00110,2024-11-05,Large,Finance,UK,Basic,Month-to-month,51.75,56.05,Credit Card,1,0,10.0,77.9,2,4.0,22.0,101,3.9,0,68.0,1.0,0,0,,0
CUST_00111,2024-02-23,Small,Retail,USA,Enterprise,Multi-year,1076.19,13772.21,Invoice,1,0,14.0,81.6,0,5.1,31.0,296,3.3,0,74.4,42.0,1,0,,0
CUST_00112,2023-10-16,Small,Technology,Canada,Basic,Month-to-month,53.97,790.88,Invoice,0,1,,83.1,1,4.4,23.9,358,2.2,1,54.9,10.0,0,0,,1
CUST_00113,2024-01-14,Large,Retail,UK,Free,Month-to-month,0.0,0.0,PayPal,0,1,13.0,47.5,0,2.0,21.0,216,0.1,0,74.5,38.0,0,0,,0
CUST_00114,2024-05-04,Medium,Technology,Australia,Pro,Annual,234.07,2030.24,Credit Card,0,1,11.0,71.2,3,1.6,,44,1.4,1,50.8,14.0,0,0,,0
CUST_00115,2023-08-19,Large,Finance,USA,Basic,Month-to-month,49.03,806.42,Credit Card,0,1,11.0,83.5,2,2.8,35.6,109,11.5,1,45.8,100.0,1,0,,0
CUST_00116,2023-02-10,Medium,Education,Canada,Pro,Annual,211.39,5118.49,Credit Card,1,0,8.0,68.7,0,3.9,20.6,330,3.2,0,65.4,19.0,0,0,,0
CUST_00117,2023-01-28,Enterprise,Finance,Germany,Pro,Annual,199.94,4845.48,Credit Card,0,0,15.0,73.9,2,3.4,46.1,537,1.7,1,56.6,72.0,0,0,,1
CUST_00118,2023-05-15,Medium,Education,USA,Enterprise,Multi-year,1060.06,16268.08,Invoice,1,1,13.0,86.8,5,3.0,24.6,74,1.7,1,53.7,25.0,0,0,,0
CUST_00119,2023-07-20,Small,Technology,Germany,Free,Month-to-month,0.0,0.0,Credit Card,1,0,10.0,87.4,1,3.2,,206,12.0,1,44.0,8.0,0,0,,1
CUST_00120,2023-02-02,Small,Healthcare,UK,Basic,Month-to-month,45.83,774.9,Credit Card,0,0,17.0,89.5,2,2.5,34.5,62,1.2,0,79.9,,1,0,,0
CUST_00121,2023-02-17,Small,Retail,USA,Pro,Annual,205.45,4923.57,PayPal,1,1,6.0,70.6,0,0.5,,87,1.0,0,63.5,62.0,1,0,,0
CUST_00122,2024-05-17,Enterprise,Technology,USA,Basic,Month-to-month,53.77,406.92,Invoice,1,1,8.0,68.7,1,2.4,37.5,9,0.0,0,67.0,39.0,0,0,,0
CUST_00123,2024-02-11,Small,Technology,USA,Pro,Annual,225.33,2626.76,Invoice,0,0,10.0,71.6,1,6.1,25.2,47,5.9,1,47.1,15.0,0,0,,0
CUST_00124,2024-07-27,Small,Technology,USA,Pro,Annual,191.47,960.67,Invoice,0,1,10.0,87.6,4,2.4,7.8,268,10.9,0,64.6,16.0,0,0,,0
CUST_00125,2024-12-28,Small,Education,USA,Basic,Month-to-month,53.37,41.76,Credit Card,1,0,15.0,82.9,4,0.8,42.3,27,3.6,0,75.7,-20.0,0,1,2025-01-01,0
CUST_00126,2023-04-09,Large,Retail,USA,Basic,Month-to-month,50.66,1037.77,PayPal,2,0,14.0,76.0,1,4.1,,120,1.4,1,55.3,13.0,0,0,,1
CUST_00127,2024-11-14,Small,Finance,USA,Free,Month-to-month,0.0,0.0,PayPal,1,0,13.0,67.6,2,2.1,33.0,22,2.5,1,53.2,33.0,0,0,,1
CUST_00128,2024-12-26,Enterprise,Technology,USA,Pro,Annual,202.94,231.55,Credit Card,2,0,9.0,64.2,2,1.7,12.6,6,3.4,0,66.8,30.0,0,0,,0
CUST_00129,2024-06-30,Small,Technology,USA,Pro,Annual,198.4,1487.1,Invoice,0,0,8.0,95.0,4,1.9,16.5,102,1.3,0,66.4,100.0,0,0,,0
CUST_00130,2024-09-04,Small,Healthcare,Germany,Pro,Annual,208.6,750.07,Invoice,0,1,12.0,95.0,1,0.3,0.7,92,10.0,1,48.0,87.0,0,0,,0
CUST_00131,2024-04-06,Small,Education,Germany,Basic,Month-to-month,40.69,353.58,Invoice,1,1,10.0,73.4,1,0.3,11.8,63,11.0,1,44.5,7.0,1,1,2024-10-16,0
CUST_00132,2024-10-04,Large,Retail,Australia,Basic,Month-to-month,41.55,74.87,Credit Card,1,0,8.0,58.7,1,0.8,,51,14.8,0,59.6,50.0,1,0,,1
CUST_00133,2023-01-05,Large,Finance,USA,Free,Month-to-month,0.0,0.0,Credit Card,0,0,8.0,72.2,2,3.1,29.2,39,1.5,1,46.3,-16.0,0,0,,0
CUST_00134,2023-08-06,Small,Healthcare,USA,Basic,Month-to-month,52.83,778.74,Invoice,0,0,12.0,48.3,4,2.8,37.3,303,1.1,0,72.4,43.0,0,0,,0
CUST_00135,2024-05-17,Small,Education,USA,Basic,Month-to-month,51.02,310.13,Credit Card,1,1,8.0,85.0,1,,13.9,20,1.3,1,46.3,11.0,0,0,,0
CUST_00136,2024-02-02,Large,Healthcare,USA,Free,Month-to-month,0.0,0.0,Credit Card,1,0,4.0,64.2,2,4.9,42.5,143,6.2,0,57.9,21.0,0,0,,1
CUST_00137,2024-01-28,Small,Education,Germany,Free,Month-to-month,0.0,0.0,Invoice,0,0,9.0,74.5,1,4.8,36.2,18,7.3,0,64.8,52.0,1,0,,0
CUST_00138,2023-07-26,Small,Technology,Australia,Pro,Annual,190.06,3004.38,Credit Card,0,0,11.0,55.3,3,2.9,19.6,91,6.5,0,68.3,83.0,0,0,,0
CUST_00139,2023-01-15,Small,Retail,USA,Enterprise,Multi-year,1041.73,24857.79,PayPal,0,0,13.0,92.4,3,,36.7,62,18.8,0,65.1,-17.0,0,0,,1
CUST_00140,2024-07-07,Small,Healthcare,UK,Basic,Month-to-month,47.22,258.99,Invoice,2,1,12.0,55.6,3,0.3,41.4,249,8.5,0,68.8,17.0,1,0,,0
CUST_00141,2024-04-05,Small,Retail,Australia,Free,Month-to-month,0.0,0.0,PayPal,2,0,9.0,93.7,2,0.9,24.3,84,5.6,1,45.7,51.0,0,0,,0
CUST_00142,2024-11-21,Small,Healthcare,Australia,Enterprise,Multi-year,1152.72,1101.86,Credit Card,2,0,16.0,61.8,5,3.3,13.6,100,18.7,0,69.6,31.0,0,0,,0
CUST_00143,2024-07-28,Small,Technology,USA,Enterprise,Multi-year,977.96,4343.12,Credit Card,0,1,7.0,88.6,3,2.9,31.9,56,8.4,0,61.3,15.0,1,0,,0
CUST_00144,2023-08-29,Large,Technology,USA,Pro,Annual,203.73,2545.19,Invoice,0,0,15.0,44.4,4,1.5,16.4,95,0.1,1,57.4,100.0,0,0,,0
CUST_00145,2024-07-17,Small,Education,UK,Basic,Month-to-month,48.92,246.68,Credit Card,0,0,10.0,86.1,1,3.5,30.6,15,8.0,0,66.0,25.0,0,0,,0
