post_id,date,post_type,campaign_name,impressions,reach,engagement,likes,comments,shares,clicks,conversions,spend,age_group,gender,location,video_views,page_likes
POST_FB_030,2024-07-22 09:15:00,Photo,Back to Basics,34800,32200,2340,1780,380,180,440,48,660.00,35-44,All,Sydney,0,25
POST_FB_031,2024-07-22 15:00:00,Video,Summer Sale 2024,57400,53700,3960,3020,640,300,740,62,1040.00,25-34,All,Melbourne,43100,32
POST_FB_032,2024-07-23 11:30:00,Status,Industry News,11800,11000,820,630,136,54,152,18,170.00,45-54,All,Adelaide,0,12
POST_FB_033,2024-07-23 17:45:00,Video,Tutorial Series,43800,40700,3000,2300,485,215,580,52,840.00,35-44,All,Brisbane,32800,28
POST_FB_034,2024-07-24 12:00:00,Photo,Product Launch,29100,26800,1960,1500,320,140,360,38,540.00,55+,All,Sydney,0,22
POST_FB_035,2024-07-24 16:30:00,Link,Customer Success,37600,34800,2480,1860,395,225,500,55,720.00,45-54,Female,Perth,0,26
POST_FB_036,2024-07-26 10:45:00,Video,Fun Friday,65200,61000,4560,3480,740,340,820,68,1180.00,25-34,All,Melbourne,48900,35
POST_FB_037,2024-07-26 19:00:00,Status,Weekend Preview,16000,14900,1120,860,184,76,205,28,235.00,35-44,Female,Brisbane,0,18
POST_FB_038,2024-07-27 11:15:00,Video,Expert Interview,50800,47200,3480,2660,565,255,660,62,960.00,45-54,All,Sydney,38100,32
POST_FB_039,2024-07-27 15:30:00,Photo,Weekend Special,74600,69800,5240,3990,850,410,960,75,1360.00,25-34,All,Adelaide,0,40
POST_FB_040,2024-07-29 09:30:00,Link,Monday Motivation,25400,23400,1700,1300,280,120,320,32,480.00,35-44,All,Perth,0,20
POST_FB_041,2024-07-29 14:15:00,Photo,Product Launch,35900,33200,2400,1820,390,190,460,52,680.00,45-54,All,Melbourne,0,26
POST_FB_042,2024-07-30 10:30:00,Video,Transformation Tuesday,61300,57300,4360,3320,710,330,780,65,1120.00,25-34,All,Brisbane,46000,34
POST_FB_043,2024-07-30 17:45:00,Status,Quick Tip,13900,12900,960,740,160,60,178,24,200.00,35-44,Female,Sydney,0,15
POST_FB_044,2024-07-31 12:00:00,Video,Monthly Recap,46400,43100,3180,2440,515,225,600,55,880.00,45-54,All,Adelaide,34800,30
POST_FB_045,2024-08-01 10:00:00,Photo,August Launch,79200,74100,5620,4280,915,430,1020,80,1440.00,25-34,All,Sydney,0,42
POST_FB_046,2024-08-01 16:30:00,Link,New Month New You,28600,26300,1920,1460,310,150,380,38,540.00,35-44,Female,Melbourne,0,22
POST_FB_047,2024-08-02 11:15:00,Photo,Back to School,39700,36800,2680,2040,435,205,520,58,760.00,45-54,All,Brisbane,0,28
POST_FB_048,2024-08-02 15:45:00,Status,Friday Feels,14900,13900,1040,800,172,68,192,26,215.00,25-34,Female,Perth,0,16
POST_FB_049,2024-08-03 10:30:00,Video,Weekend Workshop,49400,45900,3400,2600,550,250,640,58,940.00,35-44,All,Sydney,37000,32
POST_FB_050,2024-08-03 17:15:00,Photo,Weekend Deals,68300,63900,4820,3670,780,370,880,72,1240.00,25-34,All,Adelaide,0,38
POST_FB_051,2024-08-05 09:00:00,Link,Monday Blues Cure,24300,22400,1620,1240,265,115,305,30,460.00,45-54,Male,Melbourne,0,18
POST_FB_052,2024-08-05 14:30:00,Photo,Back to School,36800,34100,2460,1870,400,190,480,55,700.00,45-54,Female,Brisbane,0,26
POST_FB_053,2024-08-06 10:45:00,Video,Tech Tuesday,64100,59900,4560,3480,740,340,820,68,1170.00,25-34,All,Sydney,48100,35
POST_FB_054,2024-08-06 16:15:00,Status,Midweek Motivation,13100,12200,900,690,150,60,168,22,190.00,35-44,Female,Perth,0,14
POST_FB_055,2024-08-07 12:00:00,Video,Tutorial Series,44900,41700,3080,2360,500,220,580,55,850.00,45-54,All,Adelaide,33700,28
POST_FB_056,2024-08-07 17:30:00,Photo,Product Launch,30200,27800,2020,1540,330,150,380,42,570.00,55+,All,Melbourne,0,22
POST_FB_057,2024-08-08 10:15:00,Link,Back to School,40400,37400,2680,2020,430,200,540,58,770.00,35-44,All,Brisbane,0,28
POST_FB_058,2024-08-08 15:45:00,Video,Throwback Thursday,70500,66000,5000,3810,810,380,910,75,1280.00,25-34,All,Sydney,52900,38
POST_FB_059,2024-08-09 11:30:00,Status,Weekend Countdown,15500,14400,1080,830,178,70,200,28,225.00,35-44,Female,Adelaide,0,17
POST_FB_060,2024-08-09 18:45:00,Video,Friday Feature,50200,46600,3460,2640,560,260,650,62,950.00,45-54,All,Perth,37600,32
POST_FB_061,2024-08-10 10:00:00,Photo,Saturday Special,76100,71300,5420,4130,880,410,990,80,1390.00,25-34,All,Melbourne,0,42
POST_FB_062,2024-08-10 16:45:00,Link,Weekend Inspiration,32100,29600,2160,1640,350,170,430,45,610.00,45-54,Male,Brisbane,0,24
POST_FB_063,2024-08-12 09:30:00,Photo,Back to School,35200,32600,2360,1790,385,185,460,52,670.00,45-54,Female,Sydney,0,25
POST_FB_064,2024-08-12 14:45:00,Video,Monday Madness,59400,55600,4240,3230,690,320,760,65,1080.00,25-34,All,Adelaide,44600,34
POST_FB_065,2024-08-13 11:00:00,Status,Tuesday Trivia,12600,11700,870,670,145,55,162,22,180.00,35-44,Female,Perth,0,13
POST_FB_066,2024-08-13 17:30:00,Video,Expert Tips,45900,42600,3140,2400,510,230,590,55,870.00,45-54,All,Melbourne,34400,28
POST_FB_067,2024-08-14 11:45:00,Photo,Midweek Check-in,27300,25200,1820,1390,295,135,345,38,520.00,55+,All,Brisbane,0,20
POST_FB_068,2024-08-14 16:15:00,Link,Product Launch,38400,35600,2560,1940,410,190,500,55,730.00,35-44,All,Sydney,0,27
POST_FB_069,2024-08-15 10:30:00,Video,Almost Friday,66900,62600,4740,3610,770,360,850,72,1220.00,25-34,All,Adelaide,50200,36
POST_FB_070,2024-08-15 18:45:00,Status,Evening Thoughts,14700,13700,1020,780,168,72,188,26,210.00,35-44,Female,Perth,0,16
POST_FB_071,2024-08-16 11:15:00,Video,Friday Workshop,48600,45100,3340,2560,540,250,630,58,920.00,45-54,All,Melbourne,36400,32
POST_FB_072,2024-08-16 15:30:00,Photo,Weekend Mode,73200,68600,5180,3950,840,390,950,75,1340.00,25-34,All,Brisbane,0,40
POST_FB_073,2024-08-17 10:00:00,Link,Saturday Morning,30300,27900,2040,1550,330,150,390,42,580.00,45-54,Male,Sydney,0,22
POST_FB_074,2024-08-17 17:00:00,Photo,Back to School,38800,35900,2600,1980,420,200,500,58,740.00,35-44,Female,Adelaide,0,28
POST_FB_075,2024-08-19 09:15:00,Video,Monday Energy,63100,59000,4480,3420,730,340,810,68,1150.00,25-34,All,Perth,47300,35
POST_FB_076,2024-08-19 14:30:00,Status,Motivation Monday,13600,12700,940,720,156,62,175,24,195.00,35-44,Female,Melbourne,0,15
POST_FB_077,2024-08-20 10:45:00,Video,Tutorial Tuesday,46800,43500,3220,2460,525,235,605,58,890.00,45-54,All,Brisbane,35100,30
POST_FB_078,2024-08-20 16:15:00,Photo,New Arrivals,29500,27200,1980,1510,320,150,370,38,560.00,55+,All,Sydney,0,22
POST_FB_079,2024-08-21 12:00:00,Link,Product Launch,36400,33700,2440,1850,390,180,475,52,690.00,45-54,All,Adelaide,0,26
POST_FB_080,2024-08-21 17:45:00,Video,Hump Day Hustle,66600,62400,4720,3600,770,360,850,72,1210.00,25-34,All,Melbourne,50000,36
POST_FB_081,2024-08-22 11:30:00,Status,Thursday Thoughts,14200,13200,980,750,162,68,182,26,205.00,35-44,Female,Brisbane,0,16
POST_FB_082,2024-08-22 16:00:00,Video,How-to Thursday,48200,44800,3320,2540,540,250,625,58,910.00,45-54,All,Perth,36100,32
POST_FB_083,2024-08-23 10:30:00,Photo,Friday Feeling,75200,70500,5340,4070,870,405,980,80,1370.00,25-34,All,Sydney,0,42
POST_FB_084,2024-08-23 18:45:00,Link,TGIF,32900,30400,2220,1680,360,170,440,48,630.00,45-54,Male,Adelaide,0,24
POST_FB_085,2024-08-24 11:00:00,Photo,Weekend Sale,40900,37900,2760,2100,445,210,540,62,780.00,35-44,All,Melbourne,0,30
POST_FB_086,2024-08-24 15:45:00,Video,Saturday Vibes,71400,66900,5060,3860,820,380,920,75,1300.00,25-34,All,Brisbane,53600,38
POST_FB_087,2024-08-26 09:30:00,Status,Sunday Funday,15700,14600,1100,840,180,80,203,30,230.00,35-44,Female,Sydney,0,18
POST_FB_088,2024-08-26 17:15:00,Video,Weekend Recap,50600,47000,3480,2660,565,260,655,65,960.00,45-54,All,Perth,38000,32
POST_FB_089,2024-08-27 10:45:00,Photo,Monday Kickoff,64600,60400,4580,3490,745,350,830,72,1180.00,25-34,All,Adelaide,0,36
POST_FB_090,2024-08-27 15:30:00,Link,New Week Energy,26100,24100,1750,1330,285,130,330,35,490.00,35-44,All,Melbourne,0,20
POST_FB_091,2024-08-28 11:15:00,Photo,Product Launch,37900,35100,2540,1930,410,190,490,55,720.00,45-54,Female,Brisbane,0,27
POST_FB_092,2024-08-28 16:45:00,Video,Tech Tips,68500,64200,4860,3700,790,370,880,72,1250.00,25-34,All,Sydney,51400,38
POST_FB_093,2024-08-29 12:00:00,Status,Wellness Wednesday,13400,12500,920,710,154,60,170,24,192.00,35-44,Female,Adelaide,0,14
POST_FB_094,2024-08-29 17:30:00,Video,Mid-week Masterclass,45200,42000,3100,2380,505,225,580,55,860.00,45-54,All,Perth,33900,28
POST_FB_095,2024-08-30 10:00:00,Photo,Almost There,28000,25800,1880,1430,305,140,355,38,530.00,55+,All,Melbourne,0,21
POST_FB_096,2024-08-30 14:45:00,Link,Back to School,39400,36500,2640,2000,425,200,515,58,750.00,35-34,All,Brisbane,0,28
POST_FB_097,2024-08-31 11:30:00,Video,End of Month,78000,73000,5560,4240,905,425,1010,82,1420.00,25-34,All,Sydney,58500,44
POST_FB_098,2024-08-31 18:00:00,Status,August Wrap-up,15200,14200,1060,810,175,75,195,28,220.00,35-44,Female,Adelaide,0,17
POST_FB_099,2024-09-02 10:15:00,Video,September Start,51500,47800,3540,2710,575,265,665,65,980.00,45-54,All,Perth,38600,34
POST_FB_100,2024-09-02 16:45:00,Photo,Labor Day Special,79600,74600,5660,4310,920,430,1030,85,1450.00,25-34,All,Melbourne,0,44
POST_FB_101,2024-09-03 11:00:00,Link,Fresh Start,26600,24500,1780,1350,290,130,335,35,500.00,35-44,All,Brisbane,0,20
POST_FB_102,2024-09-03 15:30:00,Photo,Fall Collection,40200,37200,2700,2050,435,205,525,58,770.00,45-54,Female,Sydney,0,30
POST_FB_103,2024-09-04 11:45:00,Video,New Season Vibes,71100,66600,5040,3840,820,380,915,75,1295.00,25-34,All,Adelaide,53300,38
POST_FB_104,2024-09-04 17:15:00,Status,Wednesday Wisdom,13900,12900,960,740,160,68,178,26,200.00,35-44,Female,Perth,0,15
POST_FB_105,2024-09-05 10:30:00,Video,Expert Series,47500,44100,3260,2500,530,245,615,58,900.00,45-54,All,Melbourne,35600,32
POST_FB_106,2024-09-05 16:00:00,Photo,Fall Fashion,31000,28600,2080,1580,340,160,390,42,590.00,55+,All,Brisbane,0,23
POST_FB_107,2024-09-06 11:15:00,Link,Fall Collection,37700,34900,2520,1910,405,190,490,55,720.00,35-44,All,Sydney,0,27
POST_FB_108,2024-09-06 18:30:00,Video,Friday Vibes,74600,69900,5300,4040,860,400,970,80,1360.00,25-34,All,Adelaide,56000,42
POST_FB_109,2024-09-07 10:00:00,Status,Weekend Plans,16000,14900,1120,860,184,76,205,30,235.00,35-44,Female,Perth,0,18
POST_FB_110,2024-09-07 15:45:00,Video,Weekend Workshop,49300,45800,3390,2600,550,255,640,62,935.00,45-54,All,Melbourne,37000,33
POST_FB_111,2024-09-08 11:30:00,Photo,Saturday Deals,72600,68100,5150,3930,835,390,940,75,1325.00,25-34,All,Brisbane,0,40
POST_FB_112,2024-09-08 17:00:00,Link,Weekend Mood,31500,29100,2120,1610,345,160,420,48,600.00,45-54,Male,Sydney,0,24
POST_FB_113,2024-09-09 12:15:00,Photo,Sunday Funday,36100,33400,2420,1840,390,185,470,52,690.00,35-44,Female,Adelaide,0,26
POST_FB_114,2024-09-10 09:00:00,Video,Monday Motivation,63800,59700,4530,3460,735,345,820,72,1165.00,25-34,All,Perth,47900,36
POST_FB_115,2024-09-10 14:30:00,Status,Start Strong,13100,12200,900,690,150,60,168,24,190.00,35-44,Female,Melbourne,0,14
POST_FB_116,2024-09-11 10:45:00,Video,Tutorial Tuesday,46200,42900,3170,2430,515,235,595,58,880.00,45-54,All,Brisbane,34600,30
POST_FB_117,2024-09-11 16:15:00,Photo,Fall Collection,29000,26700,1940,1480,315,145,365,38,550.00,55+,All,Sydney,0,22
POST_FB_118,2024-09-12 12:00:00,Link,Product Launch,37200,34500,2490,1890,400,185,485,55,710.00,45-54,All,Adelaide,0,27
POST_FB_119,2024-09-12 17:45:00,Video,Midweek Boost,67500,63200,4790,3650,780,360,865,72,1230.00,25-34,All,Perth,50600,38
POST_FB_120,2024-09-13 11:30:00,Status,Thursday Thought,14500,13500,1000,770,166,70,185,28,210.00,35-44,Female,Melbourne,0,16
POST_FB_121,2024-09-13 16:00:00,Video,How-to Guide,47000,43700,3230,2470,525,240,605,58,890.00,45-54,All,Brisbane,35300,32
POST_FB_122,2024-09-14 10:30:00,Photo,TGIF Energy,76000,71300,5400,4120,875,410,990,82,1385.00,25-34,All,Sydney,0,42
POST_FB_123,2024-09-14 18:45:00,Link,Friday Feels,33500,30900,2260,1710,365,170,450,50,640.00,45-54,Male,Adelaide,0,25
POST_FB_124,2024-09-15 11:00:00,Photo,Fall Collection,39800,36900,2670,2030,430,200,520,60,760.00,35-44,All,Melbourne,0,29
POST_FB_125,2024-09-15 15:45:00,Video,Weekend Sales,72200,67700,5120,3900,830,385,930,78,1315.00,25-34,All,Brisbane,54200,40
POST_FB_126,2024-09-16 10:15:00,Status,Sunday Chill,15500,14400,1080,830,178,74,200,30,225.00,35-44,Female,Perth,0,17
POST_FB_127,2024-09-17 10:00:00,Video,Monday Masterclass,49800,46300,3420,2620,555,260,645,62,945.00,45-54,All,Sydney,37300,33
POST_FB_128,2024-09-17 15:30:00,Photo,Week Starter,65400,61200,4640,3540,755,350,840,72,1195.00,25-34,All,Adelaide,0,37
POST_FB_129,2024-09-18 11:45:00,Link,New Week,25600,23600,1710,1300,280,125,322,35,480.00,35-44,All,Melbourne,0,20
POST_FB_130,2024-09-18 16:15:00,Photo,Product Launch,37600,34800,2520,1910,405,190,490,55,720.00,45-54,Female,Brisbane,0,27
POST_FB_131,2024-09-19 12:00:00,Video,Tech Trends,69400,65000,4920,3750,800,370,890,75,1265.00,25-34,All,Perth,52100,39
POST_FB_132,2024-09-19 17:30:00,Status,Wellness Tips,13600,12700,940,720,156,64,175,26,195.00,35-44,Female,Sydney,0,15
POST_FB_133,2024-09-20 10:45:00,Video,Expert Interview,45600,42400,3130,2400,510,230,588,58,865.00,45-54,All,Adelaide,34200,30
POST_FB_134,2024-09-20 16:00:00,Photo,Fall Trends,28600,26400,1920,1460,310,145,360,40,540.00,55+,All,Melbourne,0,22
POST_FB_135,2024-09-21 11:15:00,Link,Fall Collection,38900,36000,2610,1980,420,195,505,58,740.00,35-44,All,Brisbane,0,28
POST_FB_136,2024-09-21 18:00:00,Video,Friday Celebration,75700,71000,5380,4100,875,405,980,82,1380.00,25-34,All,Sydney,56800,42
POST_FB_137,2024-09-22 10:30:00,Status,Weekend Ahead,15200,14200,1060,810,175,72,195,28,220.00,35-44,Female,Adelaide,0,17
POST_FB_138,2024-09-22 15:45:00,Video,Saturday Special,49000,45500,3370,2580,545,255,635,62,930.00,45-54,All,Perth,36700,33
POST_FB_139,2024-09-23 11:30:00,Photo,Weekend Vibes,73400,68900,5210,3970,845,395,950,78,1340.00,25-34,All,Melbourne,0,40
POST_FB_140,2024-09-24 17:15:00,Link,Sunday Relax,32100,29600,2160,1640,350,165,430,48,615.00,45-54,Male,Brisbane,0,24
POST_FB_141,2024-09-25 09:30:00,Photo,New Week,36500,33800,2450,1860,395,185,475,55,695.00,35-44,Female,Sydney,0,26
POST_FB_142,2024-09-25 14:45:00,Video,Monday Energy,64600,60500,4580,3490,745,345,830,75,1180.00,25-34,All,Adelaide,48500,36
POST_FB_143,2024-09-26 11:00:00,Status,Motivation,13400,12500,920,710,154,62,170,26,192.00,35-44,Female,Perth,0,14
POST_FB_144,2024-09-26 16:30:00,Video,Tutorial Time,46600,43300,3200,2450,520,240,600,60,885.00,45-54,All,Melbourne,35000,31
POST_FB_145,2024-09-27 11:45:00,Photo,Fall Collection,29700,27400,1990,1520,325,150,375,42,565.00,55+,All,Brisbane,0,22
POST_FB_146,2024-09-27 17:45:00,Link,Product Update,38100,35300,2550,1930,410,190,495,58,730.00,45-54,All,Sydney,0,27
POST_FB_147,2024-09-28 11:30:00,Video,Almost Friday,68200,63900,4840,3690,785,365,875,75,1245.00,25-34,All,Adelaide,51200,38
POST_FB_148,2024-09-28 16:00:00,Status,Thursday Vibe,14700,13700,1020,780,168,70,188,28,210.00,35-44,Female,Perth,0,16
POST_FB_149,2024-09-29 10:30:00,Video,Friday Feature,47900,44500,3290,2520,535,248,620,62,910.00,45-54,All,Melbourne,35900,32
POST_FB_150,2024-09-29 18:45:00,Photo,Weekend Ready,76700,72000,5450,4150,885,415,1000,85,1400.00,25-34,All,Brisbane,0,43
POST_FB_151,2024-09-30 11:00:00,Link,Month End,34100,31500,2290,1740,370,175,455,52,655.00,45-54,Male,Sydney,0,25
POST_FB_152,2024-09-30 15:45:00,Photo,September Wrap,40400,37400,2720,2070,440,205,530,62,770.00,35-44,All,Adelaide,0,30
POST_FB_153,2024-10-01 10:15:00,Video,October Launch,80600,75600,5740,4380,935,440,1045,88,1470.00,25-34,All,Perth,60500,45
POST_FB_154,2024-10-01 16:45:00,Status,New Month,15700,14600,1100,840,180,76,203,32,230.00,35-44,Female,Melbourne,0,18
POST_FB_155,2024-10-02 11:30:00,Video,October Kicks Off,50800,47200,3490,2670,565,265,658,68,965.00,45-54,All,Brisbane,38100,34
POST_FB_156,2024-10-02 17:00:00,Photo,Fresh Month Energy,73800,69300,5240,3990,850,395,960,80,1345.00,25-34,All,Sydney,0,41
POST_FB_157,2024-10-03 12:15:00,Link,Fall Season,30400,28100,2040,1550,330,155,385,45,580.00,35-44,All,Adelaide,0,23
POST_FB_158,2024-10-03 16:30:00,Photo,Product Launch,39700,36800,2660,2020,430,200,518,60,755.00,45-54,Female,Perth,0,29
POST_FB_159,2024-10-04 11:00:00,Video,Friday Energy,73000,68500,5180,3950,840,390,945,78,1330.00,25-34,All,Melbourne,54800,40
POST_FB_160,2024-10-04 18:30:00,Status,Weekend Preview,14900,13900,1040,800,172,72,192,30,215.00,35-44,Female,Brisbane,0,16
POST_FB_161,2024-10-05 10:45:00,Video,Weekend How-to,48600,45100,3340,2560,542,250,628,65,920.00,45-54,All,Sydney,36400,33
POST_FB_162,2024-10-05 15:15:00,Photo,Saturday Fun,71700,67300,5090,3880,825,385,930,75,1310.00,25-34,All,Adelaide,0,39
POST_FB_163,2024-10-07 09:15:00,Link,New Week Start,26200,24200,1760,1340,285,132,332,38,495.00,35-44,All,Perth,0,20
POST_FB_164,2024-10-07 14:30:00,Photo,Product Launch,38400,35600,2570,1950,415,195,500,60,730.00,45-54,All,Melbourne,0,28
POST_FB_165,2024-10-08 11:15:00,Video,Tech Tuesday,66000,61800,4680,3570,760,355,845,75,1205.00,25-34,All,Brisbane,49500,37
POST_FB_166,2024-10-08 16:30:00,Status,Tuesday Tips,13900,12900,960,740,160,66,178,28,200.00,35-44,Female,Sydney,0,15
POST_FB_167,2024-10-09 12:00:00,Video,Mid-week Guide,47100,43800,3240,2480,525,243,605,62,895.00,45-54,All,Adelaide,35300,32
POST_FB_168,2024-10-09 17:15:00,Photo,Fall Fashion,30100,27800,2020,1540,330,152,380,45,575.00,55+,All,Perth,0,23
POST_FB_169,2024-10-10 10:30:00,Link,Product Launch,39300,36400,2630,1990,423,198,512,62,750.00,35-44,All,Melbourne,0,29
POST_FB_170,2024-10-10 15:45:00,Video,Almost There,69200,64800,4900,3740,795,370,890,78,1260.00,25-34,All,Brisbane,51900,39
POST_FB_171,2024-10-11 11:30:00,Status,Friday Thoughts,15200,14200,1060,810,175,74,195,32,220.00,35-44,Female,Sydney,0,17
POST_FB_172,2024-10-11 18:00:00,Video,Weekend Prep,49600,46100,3410,2610,555,258,642,68,940.00,45-54,All,Adelaide,37200,34
POST_FB_173,2024-10-12 10:15:00,Photo,Saturday Sale,74900,70300,5320,4060,865,400,975,82,1365.00,25-34,All,Perth,0,42
POST_FB_174,2024-10-12 16:45:00,Link,Weekend Joy,33100,30600,2230,1690,360,168,445,52,635.00,45-54,Male,Melbourne,0,25
POST_FB_175,2024-10-14 09:30:00,Photo,Monday Start,37000,34300,2480,1880,400,188,482,58,705.00,35-44,Female,Brisbane,0,27
POST_FB_176,2024-10-14 14:45:00,Video,Fresh Week,65700,61500,4660,3560,758,352,843,75,1200.00,25-34,All,Sydney,49300,37
POST_FB_177,2024-10-15 11:00:00,Status,Morning Boost,13600,12700,940,720,156,64,175,28,195.00,35-44,Female,Adelaide,0,15
POST_FB_178,2024-10-15 16:30:00,Video,Tutorial Tuesday,47400,44000,3260,2495,530,245,612,65,900.00,45-54,All,Perth,35600,32
POST_FB_179,2024-10-16 11:45:00,Photo,Product Spotlight,29400,27100,1970,1500,320,148,370,42,560.00,55+,All,Melbourne,0,22
POST_FB_180,2024-10-16 17:30:00,Link,Product Launch,38200,35400,2560,1940,410,192,497,60,730.00,45-54,All,Brisbane,0,28
POST_FB_181,2024-10-17 10:45:00,Video,Midweek Motivation,67700,63400,4800,3660,780,365,870,78,1235.00,25-34,All,Sydney,50800,38
POST_FB_182,2024-10-17 16:15:00,Status,Wednesday Wisdom,14500,13500,1000,770,166,69,185,30,210.00,35-44,Female,Adelaide,0,16
POST_FB_183,2024-10-18 10:30:00,Video,Expert Tips,46800,43500,3220,2465,523,242,600,65,890.00,45-54,All,Perth,35100,32
POST_FB_184,2024-10-18 15:45,Photo,Thursday Style,30800,28400,2070,1575,335,155,390,48,585.00,35-44,All,Melbourne,0,23
POST_FB_185,2024-10-19 11:30:00,Link,Product Launch,39000,36100,2620,1985,420,196,510,62,745.00,45-54,Female,Brisbane,0,29
POST_FB_186,2024-10-19 18:00:00,Video,TGIF Vibes,76300,71600,5430,4140,880,410,995,85,1390.00,25-34,All,Sydney,57200,43
POST_FB_187,2024-10-20 10:30:00,Status,Weekend Mode,15500,14400,1080,830,178,73,200,32,225.00,35-44,Female,Adelaide,0,17
POST_FB_188,2024-10-20 15:45:00,Video,Weekend Workshop,49200,45700,3380,2590,548,255,637,68,935.00,45-54,All,Perth,36900,34
POST_FB_189,2024-10-21 11:15:00,Photo,Sunday Special,73200,68700,5200,3965,840,392,950,80,1335.00,25-34,All,Melbourne,0,40
POST_FB_190,2024-10-21 17:00:00,Link,Sunday Chill,32300,29800,2180,1655,353,165,432,52,620.00,45-54,Male,Brisbane,0,24
POST_FB_191,2024-10-22 09:45:00,Photo,New Week Energy,37200,34500,2500,1895,402,190,485,60,710.00,35-44,All,Sydney,0,27
POST_FB_192,2024-10-22 14:45:00,Video,Monday Motivation,65200,61000,4620,3525,750,348,838,78,1190.00,25-34,All,Adelaide,48900,37
