post_id,date,content_type,campaign_name,impressions,reach,engagement,likes,comments,shares,saves,clicks,conversions,spend,age_group,gender,location,story_exits,profile_visits
POST_IG_016,2024-07-12 09:30:00,Video,How-to Guide,36800,34100,2520,2080,295,115,30,485,42,690.00,25-34,All,Perth,0,88
POST_IG_017,2024-07-12 15:00:00,Reel,Summer Sale 2024,54300,50600,4380,3690,445,175,70,740,58,980.00,18-24,All,Sydney,0,156
POST_IG_018,2024-07-13 10:30:00,Image,Weekend Special,24500,22400,1680,1420,180,62,18,305,35,480.00,35-44,Male,Melbourne,0,62
POST_IG_019,2024-07-13 14:45:00,Carousel,Product Launch,29800,27500,1980,1640,205,98,37,380,45,590.00,25-34,Female,Brisbane,0,71
POST_IG_020,2024-07-15 08:45:00,Reel,Trending Challenge,72100,67300,5680,4780,580,240,80,960,68,1320.00,18-24,All,Adelaide,0,198
POST_IG_021,2024-07-15 16:30:00,Story,Quick Tips,10400,9800,720,590,78,38,14,132,18,135.00,25-34,Female,Sydney,295,32
POST_IG_022,2024-07-16 11:15:00,Video,Tutorial Series,39600,36700,2720,2240,320,125,35,525,48,750.00,35-44,All,Perth,0,95
POST_IG_023,2024-07-16 15:45:00,Image,Brand Awareness Q3,21300,19500,1420,1200,155,48,17,268,25,410.00,45-54,All,Melbourne,0,52
POST_IG_024,2024-07-17 09:00:00,Carousel,Summer Sale 2024,33500,31000,2280,1890,235,115,40,440,52,680.00,25-34,All,Brisbane,0,78
POST_IG_025,2024-07-17 13:30:00,Reel,User Generated,58900,54900,4620,3890,470,185,75,780,62,1050.00,18-24,All,Sydney,0,168
POST_IG_026,2024-07-19 10:00:00,Story,Friday Motivation,11800,11100,860,710,92,45,13,155,20,160.00,25-34,Female,Adelaide,305,38
POST_IG_027,2024-07-19 17:00:00,Video,Product Demo,41200,38200,2850,2350,340,130,35,550,52,790.00,35-44,All,Melbourne,0,102
POST_IG_028,2024-07-20 09:30:00,Reel,Weekend Vibes,62300,58100,4980,4190,510,205,75,840,65,1140.00,18-24,All,Brisbane,0,178
POST_IG_029,2024-07-20 15:15:00,Image,Weekend Special,26800,24500,1820,1540,195,68,17,335,38,520.00,35-44,Male,Perth,0,68
POST_IG_030,2024-07-22 08:30:00,Carousel,Back to Basics,27900,25800,1860,1540,195,92,33,360,42,560.00,25-34,All,Sydney,0,65
POST_IG_031,2024-07-22 14:00:00,Reel,Summer Sale 2024,49800,46400,4020,3380,410,155,75,680,55,920.00,18-24,All,Melbourne,0,142
POST_IG_032,2024-07-23 10:45:00,Story,Industry News,9200,8700,640,520,68,38,14,118,15,110.00,35-44,All,Adelaide,270,25
POST_IG_033,2024-07-23 16:20:00,Video,Tutorial Series,37800,35000,2590,2130,305,118,32,500,45,720.00,25-34,All,Brisbane,0,88
POST_IG_034,2024-07-24 11:00:00,Image,Product Launch,23400,21400,1540,1300,170,52,18,285,32,450.00,45-54,All,Sydney,0,55
POST_IG_035,2024-07-24 15:30:00,Carousel,Customer Success,30100,27800,2020,1670,215,100,35,390,48,610.00,35-44,Female,Perth,0,72
POST_IG_036,2024-07-26 09:15:00,Reel,Fun Friday,56700,52900,4480,3770,455,180,75,760,60,1020.00,18-24,All,Melbourne,0,162
POST_IG_037,2024-07-26 17:45:00,Story,Weekend Preview,12400,11700,900,740,98,48,14,168,24,175.00,25-34,Female,Brisbane,320,42
POST_IG_038,2024-07-27 10:30:00,Video,Expert Interview,44100,40900,3040,2510,360,140,35,585,55,820.00,35-44,All,Sydney,0,105
POST_IG_039,2024-07-27 14:00:00,Reel,Weekend Special,64800,60400,5180,4360,530,215,80,875,68,1180.00,18-24,All,Adelaide,0,182
POST_IG_040,2024-07-29 08:45:00,Image,Monday Motivation,20100,18400,1340,1130,148,45,12,248,28,390.00,25-34,All,Perth,0,48
POST_IG_041,2024-07-29 13:30:00,Carousel,Product Launch,28700,26500,1920,1590,200,95,38,370,45,580.00,35-44,All,Melbourne,0,68
POST_IG_042,2024-07-30 10:00:00,Reel,Transformation Tuesday,53200,49600,4280,3600,435,170,72,725,58,980.00,18-24,All,Brisbane,0,152
POST_IG_043,2024-07-30 16:15:00,Story,Quick Tip,10800,10200,780,640,85,42,12,145,20,140.00,25-34,Female,Sydney,290,35
POST_IG_044,2024-07-31 11:30:00,Video,Monthly Recap,40200,37200,2780,2290,325,128,38,535,48,770.00,35-44,All,Adelaide,0,95
POST_IG_045,2024-08-01 09:00:00,Reel,August Launch,68900,64300,5520,4650,565,230,82,935,72,1260.00,18-24,All,Sydney,0,192
POST_IG_046,2024-08-01 15:45:00,Image,New Month New You,22800,20900,1520,1280,168,55,15,282,32,440.00,25-34,Female,Melbourne,0,58
POST_IG_047,2024-08-02 10:15:00,Carousel,Back to School,31800,29400,2140,1770,225,108,40,415,52,640.00,35-44,All,Brisbane,0,75
POST_IG_048,2024-08-02 14:30:00,Story,Friday Feels,11600,10900,840,690,92,45,13,152,22,155.00,18-24,Female,Perth,300,38
POST_IG_049,2024-08-03 09:30:00,Video,Weekend Workshop,42800,39700,2940,2420,350,135,40,565,52,810.00,25-34,All,Sydney,0,98
POST_IG_050,2024-08-03 16:00:00,Reel,Weekend Deals,59400,55400,4740,3990,485,195,78,800,65,1090.00,18-24,All,Adelaide,0,172
POST_IG_051,2024-08-05 08:30:00,Image,Monday Blues Cure,19400,17800,1290,1090,142,42,13,240,25,380.00,35-44,Male,Melbourne,0,45
POST_IG_052,2024-08-05 13:45:00,Carousel,Back to School,29500,27200,1980,1640,205,98,35,382,48,595.00,35-44,Female,Brisbane,0,68
POST_IG_053,2024-08-06 10:00:00,Reel,Tech Tuesday,55800,52000,4480,3770,458,182,75,760,62,1020.00,18-24,All,Sydney,0,165
POST_IG_054,2024-08-06 15:30:00,Story,Midweek Motivation,10200,9600,740,610,78,38,12,135,18,130.00,25-34,Female,Perth,285,32
POST_IG_055,2024-08-07 11:15:00,Video,Tutorial Series,38900,36000,2680,2210,315,122,35,515,48,740.00,35-44,All,Adelaide,0,92
POST_IG_056,2024-08-07 16:45:00,Image,Product Launch,24100,22000,1620,1370,178,58,18,298,35,470.00,45-54,All,Melbourne,0,58
POST_IG_057,2024-08-08 09:00:00,Carousel,Back to School,32400,30000,2200,1820,235,110,42,425,52,650.00,25-34,All,Brisbane,0,78
POST_IG_058,2024-08-08 14:15:00,Reel,Throwback Thursday,61300,57200,4920,4140,502,198,75,830,68,1130.00,18-24,All,Sydney,0,178
POST_IG_059,2024-08-09 10:30:00,Story,Weekend Countdown,12000,11300,880,720,95,48,14,162,24,165.00,25-34,Female,Adelaide,315,42
POST_IG_060,2024-08-09 17:00:00,Video,Friday Feature,43500,40300,3000,2470,355,138,38,575,55,830.00,35-44,All,Perth,0,102
POST_IG_061,2024-08-10 09:30:00,Reel,Saturday Special,66200,61800,5320,4480,545,218,82,900,72,1220.00,18-24,All,Melbourne,0,188
POST_IG_062,2024-08-10 15:15:00,Image,Weekend Inspiration,25600,23400,1740,1470,188,62,18,320,38,510.00,35-44,Male,Brisbane,0,65
POST_IG_063,2024-08-12 08:45:00,Carousel,Back to School,28200,26000,1890,1560,198,92,35,365,45,570.00,35-44,Female,Sydney,0,68
POST_IG_064,2024-08-12 14:00:00,Reel,Monday Madness,51600,48100,4160,3500,425,165,72,705,58,950.00,18-24,All,Adelaide,0,148
POST_IG_065,2024-08-13 10:15:00,Story,Tuesday Trivia,9800,9200,680,560,72,35,12,125,18,120.00,25-34,Female,Perth,275,28
POST_IG_066,2024-08-13 16:30:00,Video,Expert Tips,39800,36900,2730,2250,322,125,35,525,48,760.00,35-44,All,Melbourne,0,95
POST_IG_067,2024-08-14 11:00:00,Image,Midweek Check-in,21800,19900,1450,1220,160,48,15,270,32,420.00,45-54,All,Brisbane,0,52
POST_IG_068,2024-08-14 15:45:00,Carousel,Product Launch,30800,28500,2070,1710,218,102,38,400,48,620.00,25-34,All,Sydney,0,72
POST_IG_069,2024-08-15 09:15:00,Reel,Almost Friday,58200,54300,4660,3920,475,188,75,790,65,1070.00,18-24,All,Adelaide,0,168
POST_IG_070,2024-08-15 17:30:00,Story,Evening Thoughts,11400,10700,830,680,88,42,13,152,22,150.00,25-34,Female,Perth,305,38
POST_IG_071,2024-08-16 10:30:00,Video,Friday Workshop,42100,39000,2890,2380,342,132,38,555,52,800.00,35-44,All,Melbourne,0,98
POST_IG_072,2024-08-16 14:45:00,Reel,Weekend Mode,63700,59500,5100,4290,520,210,80,860,68,1170.00,18-24,All,Brisbane,0,182
POST_IG_073,2024-08-17 09:00:00,Image,Saturday Morning,24200,22100,1640,1380,178,58,17,302,35,480.00,35-44,Male,Sydney,0,62
POST_IG_074,2024-08-17 16:00:00,Carousel,Back to School,31100,28800,2110,1750,222,105,40,408,52,630.00,25-34,Female,Adelaide,0,75
POST_IG_075,2024-08-19 08:30:00,Reel,Monday Energy,54800,51100,4410,3710,450,178,72,745,62,1000.00,18-24,All,Perth,0,158
POST_IG_076,2024-08-19 13:45:00,Story,Motivation Monday,10600,10000,770,630,82,40,12,140,20,140.00,25-34,Female,Melbourne,295,35
POST_IG_077,2024-08-20 10:00:00,Video,Tutorial Tuesday,40600,37600,2800,2310,330,128,38,540,52,780.00,35-44,All,Brisbane,0,95
POST_IG_078,2024-08-20 15:30:00,Image,New Arrivals,23600,21600,1580,1330,172,55,18,292,32,460.00,45-54,All,Sydney,0,55
POST_IG_079,2024-08-21 11:15:00,Carousel,Product Launch,29200,27000,1960,1620,205,95,35,378,45,590.00,35-44,All,Adelaide,0,68
POST_IG_080,2024-08-21 16:45:00,Reel,Hump Day Hustle,57900,54000,4640,3900,472,185,75,785,65,1060.00,18-24,All,Melbourne,0,165
POST_IG_081,2024-08-22 10:30:00,Story,Thursday Thoughts,11000,10400,800,660,85,42,13,148,22,145.00,25-34,Female,Brisbane,300,38
POST_IG_082,2024-08-22 15:00:00,Video,How-to Thursday,41800,38700,2870,2360,338,130,38,550,52,800.00,35-44,All,Perth,0,98
POST_IG_083,2024-08-23 09:30:00,Reel,Friday Feeling,65400,61100,5240,4410,535,215,82,885,72,1200.00,18-24,All,Sydney,0,185
POST_IG_084,2024-08-23 17:15:00,Image,TGIF,26300,24100,1780,1500,192,65,18,328,38,520.00,35-44,Male,Adelaide,0,68
POST_IG_085,2024-08-24 10:00:00,Carousel,Weekend Sale,32800,30400,2230,1840,238,112,42,432,55,660.00,25-34,All,Melbourne,0,78
POST_IG_086,2024-08-24 14:30:00,Reel,Saturday Vibes,62100,58000,4980,4190,508,202,80,840,68,1140.00,18-24,All,Brisbane,0,178
POST_IG_087,2024-08-26 08:45:00,Story,Sunday Funday,12200,11500,890,730,95,48,14,165,24,170.00,25-34,Female,Sydney,320,42
POST_IG_088,2024-08-26 16:00:00,Video,Weekend Recap,43900,40700,3020,2490,358,140,40,580,55,840.00,35-44,All,Perth,0,102
POST_IG_089,2024-08-27 09:15:00,Reel,Monday Kickoff,56100,52400,4510,3790,460,182,75,765,62,1030.00,18-24,All,Adelaide,0,162
POST_IG_090,2024-08-27 14:45:00,Image,New Week Energy,20800,19000,1380,1160,152,45,15,255,28,400.00,25-34,All,Melbourne,0,48
POST_IG_091,2024-08-28 10:30:00,Carousel,Product Launch,30400,28100,2040,1690,215,100,38,395,48,610.00,35-44,Female,Brisbane,0,72
POST_IG_092,2024-08-28 15:15:00,Reel,Tech Tips,59600,55600,4780,4020,488,192,78,810,65,1090.00,18-24,All,Sydney,0,172
POST_IG_093,2024-08-29 11:00:00,Story,Wellness Wednesday,10400,9800,750,620,78,38,12,138,20,135.00,25-34,Female,Adelaide,285,32
POST_IG_094,2024-08-29 16:30:00,Video,Mid-week Masterclass,39200,36300,2690,2220,318,122,35,518,48,750.00,35-44,All,Perth,0,92
POST_IG_095,2024-08-30 09:00:00,Image,Almost There,22400,20500,1500,1260,165,52,18,278,32,440.00,45-54,All,Melbourne,0,55
POST_IG_096,2024-08-30 14:15:00,Carousel,Back to School,31600,29200,2130,1760,225,108,40,413,52,640.00,25-34,All,Brisbane,0,75
POST_IG_097,2024-08-31 10:45:00,Reel,End of Month,67800,63400,5440,4580,555,225,82,920,75,1240.00,18-24,All,Sydney,0,192
POST_IG_098,2024-08-31 17:00:00,Story,August Wrap-up,11800,11100,860,710,92,45,13,158,22,160.00,25-34,Female,Adelaide,310,38
POST_IG_099,2024-09-02 09:30:00,Video,September Start,44700,41400,3080,2540,365,142,40,590,58,850.00,35-44,All,Perth,0,105
POST_IG_100,2024-09-02 15:45:00,Reel,Labor Day Special,69200,64700,5580,4690,570,230,85,945,75,1270.00,18-24,All,Melbourne,0,198
POST_IG_101,2024-09-03 10:15:00,Image,Fresh Start,21200,19400,1410,1190,155,48,15,262,30,410.00,25-34,All,Brisbane,0,52
POST_IG_102,2024-09-03 14:30:00,Carousel,Fall Collection,32200,29800,2180,1800,230,110,42,422,52,650.00,35-44,Female,Sydney,0,78
POST_IG_103,2024-09-04 11:00:00,Reel,New Season Vibes,61800,57700,4960,4170,505,200,80,840,68,1130.00,18-24,All,Adelaide,0,178
POST_IG_104,2024-09-04 16:15:00,Story,Wednesday Wisdom,10800,10200,780,640,82,40,12,145,20,140.00,25-34,Female,Perth,290,35
POST_IG_105,2024-09-05 09:45:00,Video,Expert Series,41200,38200,2830,2330,335,130,38,545,52,790.00,35-44,All,Melbourne,0,98
POST_IG_106,2024-09-05 15:30:00,Image,Fall Fashion,24800,22700,1660,1400,182,60,18,308,35,490.00,45-54,All,Brisbane,0,58
POST_IG_107,2024-09-06 10:00:00,Carousel,Fall Collection,30200,27900,2030,1680,212,102,38,392,48,610.00,25-34,All,Sydney,0,72
POST_IG_108,2024-09-06 17:00:00,Reel,Friday Vibes,64900,60600,5200,4370,530,212,82,880,72,1190.00,18-24,All,Adelaide,0,185
POST_IG_109,2024-09-07 09:30:00,Story,Weekend Plans,12400,11700,900,740,98,48,14,168,24,175.00,25-34,Female,Perth,315,42
POST_IG_110,2024-09-07 14:45:00,Video,Weekend Workshop,42800,39700,2940,2420,348,135,40,565,55,810.00,35-44,All,Melbourne,0,100
POST_IG_111,2024-09-08 10:30:00,Reel,Saturday Deals,63200,59000,5060,4260,518,205,80,855,68,1160.00,18-24,All,Brisbane,0,182
POST_IG_112,2024-09-08 16:00:00,Image,Weekend Mood,25100,23000,1700,1430,185,62,18,315,38,500.00,35-44,Male,Sydney,0,65
POST_IG_113,2024-09-09 11:15:00,Carousel,Sunday Funday,28900,26700,1940,1610,202,95,35,375,45,580.00,25-34,Female,Adelaide,0,68
POST_IG_114,2024-09-10 08:30:00,Reel,Monday Motivation,55400,51700,4460,3750,455,180,75,755,62,1010.00,18-24,All,Perth,0,162
POST_IG_115,2024-09-10 13:45:00,Story,Start Strong,10200,9600,740,610,78,38,12,135,18,130.00,25-34,Female,Melbourne,285,32
POST_IG_116,2024-09-11 10:00:00,Video,Tutorial Tuesday,40100,37200,2760,2270,325,125,38,530,52,770.00,35-44,All,Brisbane,0,95
POST_IG_117,2024-09-11 15:30:00,Image,Fall Collection,23200,21200,1550,1300,170,55,18,287,32,450.00,45-54,All,Sydney,0,55
POST_IG_118,2024-09-12 11:15:00,Carousel,Product Launch,29800,27500,2000,1650,210,98,38,385,48,600.00,35-44,All,Adelaide,0,70
POST_IG_119,2024-09-12 16:45:00,Reel,Midweek Boost,58700,54800,4710,3960,480,188,78,795,65,1080.00,18-24,All,Perth,0,168
POST_IG_120,2024-09-13 10:30:00,Story,Thursday Thought,11200,10600,810,670,85,42,13,150,22,150.00,25-34,Female,Melbourne,300,38
POST_IG_121,2024-09-13 15:00:00,Video,How-to Guide,40800,37800,2810,2310,332,128,38,540,52,780.00,35-44,All,Brisbane,0,98
POST_IG_122,2024-09-14 09:30:00,Reel,TGIF Energy,66100,61800,5300,4460,540,218,82,895,72,1210.00,18-24,All,Sydney,0,188
POST_IG_123,2024-09-14 17:15:00,Image,Friday Feels,26800,24500,1810,1530,195,65,18,335,38,530.00,35-44,Male,Adelaide,0,68
POST_IG_124,2024-09-15 10:00:00,Carousel,Fall Collection,31900,29500,2160,1780,228,110,42,418,55,650.00,25-34,All,Melbourne,0,78
POST_IG_125,2024-09-15 14:30:00,Reel,Weekend Sales,62800,58700,5040,4240,515,205,82,850,70,1150.00,18-24,All,Brisbane,0,180
POST_IG_126,2024-09-16,Story,Sunday Chill,12000,11300,870,720,92,45,14,162,24,165.00,25-34,Female,Perth,310,40
POST_IG_127,2024-09-17 09:15:00,Video,Monday Masterclass,43200,40100,2970,2450,352,138,40,570,55,820.00,35-44,All,Sydney,0,102
POST_IG_128,2024-09-17 14:45:00,Reel,Week Starter,56900,53200,4580,3850,465,185,75,775,65,1040.00,18-24,All,Adelaide,0,165
POST_IG_129,2024-09-18 10:30:00,Image,New Week,20400,18700,1350,1140,148,45,15,250,28,390.00,25-34,All,Melbourne,0,48
POST_IG_130,2024-09-18 15:15:00,Carousel,Product Launch,30100,27800,2020,1670,215,100,38,390,48,610.00,35-44,Female,Brisbane,0,72
POST_IG_131,2024-09-19 11:00:00,Reel,Tech Trends,60400,56400,4850,4080,495,195,80,820,68,1110.00,18-24,All,Perth,0,175
POST_IG_132,2024-09-19 16:30:00,Story,Wellness Tips,10600,10000,770,630,82,40,12,140,20,140.00,25-34,Female,Sydney,295,35
POST_IG_133,2024-09-20 09:45:00,Video,Expert Interview,39600,36700,2720,2240,320,122,38,523,48,760.00,35-44,All,Adelaide,0,95
POST_IG_134,2024-09-20 15:30:00,Image,Fall Trends,22900,20900,1530,1280,168,55,18,283,32,440.00,45-54,All,Melbourne,0,55
POST_IG_135,2024-09-21 10:15:00,Carousel,Fall Collection,31200,28900,2100,1740,222,105,40,407,52,630.00,25-34,All,Brisbane,0,75
POST_IG_136,2024-09-21 17:00:00,Reel,Friday Celebration,65800,61600,5280,4440,538,215,82,890,72,1210.00,18-24,All,Sydney,0,188
POST_IG_137,2024-09-22 09:30:00,Story,Weekend Ahead,11800,11100,860,710,92,45,13,158,22,160.00,25-34,Female,Adelaide,310,38
POST_IG_138,2024-09-22 14:45:00,Video,Saturday Special,42500,39400,2920,2410,345,135,40,560,55,810.00,35-44,All,Perth,0,100
POST_IG_139,2024-09-23 10:30:00,Reel,Weekend Vibes,63900,59800,5120,4310,522,208,82,865,70,1170.00,18-24,All,Melbourne,0,182
POST_IG_140,2024-09-24 16:00:00,Image,Sunday Relax,25600,23400,1730,1460,188,62,18,320,38,510.00,35-44,Male,Brisbane,0,65
POST_IG_141,2024-09-25 08:45:00,Carousel,New Week,29200,27000,1960,1620,205,95,38,378,45,590.00,25-34,Female,Sydney,0,68
POST_IG_142,2024-09-25 14:00:00,Reel,Monday Energy,56200,52500,4520,3800,462,182,75,765,65,1020.00,18-24,All,Adelaide,0,162
POST_IG_143,2024-09-26 10:15:00,Story,Motivation,10400,9800,750,620,78,38,12,138,18,135.00,25-34,Female,Perth,285,32
POST_IG_144,2024-09-26 15:30:00,Video,Tutorial Time,40400,37400,2780,2290,328,125,38,535,52,780.00,35-44,All,Melbourne,0,95
POST_IG_145,2024-09-27 11:00:00,Image,Fall Collection,23800,21800,1590,1340,175,58,18,295,35,470.00,45-54,All,Brisbane,0,58
POST_IG_146,2024-09-27 16:45:00,Carousel,Product Update,30500,28200,2050,1690,218,102,40,396,50,620.00,35-44,All,Sydney,0,72
POST_IG_147,2024-09-28 10:30:00,Reel,Almost Friday,59300,55400,4760,4000,485,190,78,805,68,1090.00,18-24,All,Adelaide,0,170
POST_IG_148,2024-09-28 15:00:00,Story,Thursday Vibe,11400,10700,830,680,88,42,13,152,22,150.00,25-34,Female,Perth,305,38
POST_IG_149,2024-09-29 09:30:00,Video,Friday Feature,41600,38600,2860,2360,338,130,40,550,55,800.00,35-44,All,Melbourne,0,100
POST_IG_150,2024-09-29 17:15:00,Reel,Weekend Ready,66700,62400,5360,4510,548,220,85,905,75,1230.00,18-24,All,Brisbane,0,190
POST_IG_151,2024-09-30 10:00:00,Image,Month End,27200,24900,1840,1550,200,68,18,340,40,540.00,35-44,Male,Sydney,0,68
POST_IG_152,2024-09-30 14:30:00,Carousel,September Wrap,32400,30000,2190,1810,232,112,42,424,55,655.00,25-34,All,Adelaide,0,78
POST_IG_153,2024-10-01 09:15:00,Reel,October Launch,70100,65600,5640,4740,575,232,85,955,78,1290.00,18-24,All,Perth,0,200
POST_IG_154,2024-10-01 15:45:00,Story,New Month,12200,11500,890,730,95,48,14,165,24,170.00,25-34,Female,Melbourne,320,42
POST_IG_155,2024-10-02 10:30:00,Video,October Kicks Off,44100,40900,3040,2510,360,140,42,585,58,840.00,35-44,All,Brisbane,0,105
POST_IG_156,2024-10-02 16:00:00,Reel,Fresh Month Energy,64200,60000,5150,4330,525,210,82,870,72,1180.00,18-24,All,Sydney,0,185
POST_IG_157,2024-10-03 11:15:00,Image,Fall Season,24300,22200,1630,1370,178,58,18,302,35,480.00,25-34,All,Adelaide,0,58
POST_IG_158,2024-10-03 15:30:00,Carousel,Product Launch,31800,29400,2140,1770,225,108,42,415,55,645.00,35-44,Female,Perth,0,75
POST_IG_159,2024-10-04 10:00:00,Reel,Friday Energy,63500,59400,5090,4280,518,205,82,860,70,1170.00,18-24,All,Melbourne,0,182
POST_IG_160,2024-10-04 17:30:00,Story,Weekend Preview,11600,10900,840,690,92,45,13,152,22,155.00,25-34,Female,Brisbane,300,38
POST_IG_161,2024-10-05 09:45:00,Video,Weekend How-to,42200,39100,2900,2390,343,133,40,557,55,805.00,35-44,All,Sydney,0,100
POST_IG_162,2024-10-05 14:15:00,Reel,Saturday Fun,62400,58400,5000,4210,510,202,80,845,68,1145.00,18-24,All,Adelaide,0,178
POST_IG_163,2024-10-07 08:30:00,Image,New Week Start,20900,19100,1390,1170,152,48,15,257,30,400.00,25-34,All,Perth,0,50
POST_IG_164,2024-10-07 13:45:00,Carousel,Product Launch,30800,28500,2070,1710,218,102,40,400,50,620.00,35-44,All,Melbourne,0,72
POST_IG_165,2024-10-08 10:15:00,Reel,Tech Tuesday,57400,53600,4610,3880,470,185,78,780,65,1050.00,18-24,All,Brisbane,0,165
POST_IG_166,2024-10-08 15:30:00,Story,Tuesday Tips,10800,10200,780,640,82,40,12,145,20,140.00,25-34,Female,Sydney,290,35
POST_IG_167,2024-10-09 11:00:00,Video,Mid-week Guide,40900,37900,2810,2320,332,128,40,540,55,785.00,35-44,All,Adelaide,0,98
POST_IG_168,2024-10-09 16:15:00,Image,Fall Fashion,24100,22000,1610,1360,178,58,18,298,35,470.00,45-54,All,Perth,0,58
POST_IG_169,2024-10-10 09:30:00,Carousel,Product Launch,31500,29100,2120,1750,225,108,42,411,55,640.00,25-34,All,Melbourne,0,75
POST_IG_170,2024-10-10 14:45:00,Reel,Almost There,60100,56200,4820,4050,492,195,80,815,68,1100.00,18-24,All,Brisbane,0,172
POST_IG_171,2024-10-11 10:30:00,Story,Friday Thoughts,11800,11100,860,710,92,45,13,158,22,160.00,25-34,Female,Sydney,310,38
POST_IG_172,2024-10-11 17:00:00,Video,Weekend Prep,43100,40000,2960,2440,350,138,42,568,58,820.00,35-44,All,Adelaide,0,102
POST_IG_173,2024-10-12 09:15:00,Reel,Saturday Sale,65100,60900,5220,4390,532,212,82,882,72,1195.00,18-24,All,Perth,0,185
POST_IG_174,2024-10-12 15:45,Image,Weekend Joy,26400,24200,1780,1500,195,65,18,328,40,520.00,35-44,Male,Melbourne,0,68
POST_IG_175,2024-10-14 08:45:00,Carousel,Monday Start,29600,27300,1980,1640,208,98,38,382,48,595.00,25-34,Female,Brisbane,0,70
POST_IG_176,2024-10-14 14:00:00,Reel,Fresh Week,57100,53400,4590,3860,468,185,78,777,65,1040.00,18-24,All,Sydney,0,165
POST_IG_177,2024-10-15 10:15:00,Story,Morning Boost,10600,10000,770,630,82,40,12,140,20,140.00,25-34,Female,Adelaide,295,35
POST_IG_178,2024-10-15 15:30:00,Video,Tutorial Tuesday,41100,38100,2830,2330,335,128,40,544,55,790.00,35-44,All,Perth,0,98
POST_IG_179,2024-10-16 11:00:00,Image,Product Spotlight,23500,21500,1570,1320,172,55,18,290,35,460.00,45-54,All,Melbourne,0,55
POST_IG_180,2024-10-16 16:30:00,Carousel,Product Launch,30600,28300,2060,1700,218,102,42,398,52,620.00,35-44,All,Brisbane,0,72
POST_IG_181,2024-10-17 10:00:00,Reel,Midweek Motivation,58800,54900,4720,3970,482,188,80,798,68,1080.00,18-24,All,Sydney,0,168
POST_IG_182,2024-10-17 15:15:00,Story,Wednesday Wisdom,11200,10600,810,670,85,42,13,150,22,150.00,25-34,Female,Adelaide,300,38
POST_IG_183,2024-10-18 09:45:00,Video,Expert Tips,40600,37600,2790,2300,328,125,40,536,55,780.00,35-44,All,Perth,0,98
POST_IG_184,2024-10-18 14:30:00,Image,Thursday Style,24600,22500,1650,1390,182,60,18,305,38,490.00,25-34,All,Melbourne,0,60
POST_IG_185,2024-10-19 10:30:00,Carousel,Product Launch,31300,28900,2110,1740,222,105,42,408,55,635.00,35-44,Female,Brisbane,0,75
POST_IG_186,2024-10-19 17:00:00,Reel,TGIF Vibes,66400,62200,5330,4480,543,218,85,900,75,1220.00,18-24,All,Sydney,0,188
POST_IG_187,2024-10-20 09:30:00,Story,Weekend Mode,12000,11300,870,720,92,45,14,162,24,165.00,25-34,Female,Adelaide,310,40
